0,842
15,101
45,1964
46,720
60,889
77,837
83,457
83,2333
85,2009
87,148
92,166
118,1955
118,1953
118,2030
118,117
118,1875
178,181
218,694
232,1239
240,1363
323,322
332,331
335,336
358,2420
392,114
434,1829
449,185
449,530
449,1570
463,102
477,386
479,1660
490,1346
498,668
505,648
515,900
515,901
523,2477
543,1467
709,710
769,1172
786,2410
786,1225
881,1488
1112,2361
1114,1012
1145,845
1213,670
1428,1107
1462,1548
1516,310
1579,1075
1706,1708
1706,1717
1825,1994
26,2339
27,413
51,1952
69,177
72,199
79,1291
83,280
115,760
116,1959
128,572
128,166
128,1843
155,994
168,1545
177,1224
186,1626
187,1865
319,1538
363,2175
373,714
387,1851
389,1173
396,2397
400,994
477,2083
505,2462
505,1547
515,902
551,1549
558,614
582,1538
588,66
605,604
723,2001
731,784
769,344
797,1771
816,1519
850,1575
881,2156
905,1926
905,1468
949,1518
1078,1676
1084,2433
