0,2103
27,413
0,842
27,256
83,280
118,1955
118,117
118,1432
15,101
118,1875
118,1953
118,2030
83,457
83,2333
2,2256
46,720
71,1202
363,571
119,1591
446,830
26,2339
446,1694
363,1881
363,2175
1153,1981
523,690
85,2009
51,1952
446,1911
515,901
339,1023
189,284
128,166
128,572
30,2170
768,1855
119,2476
230,278
175,1082
29,1409
627,1477
515,900
49,1505
168,1545
613,1100
47,2278
128,584
61,141
515,902
72,199
335,336
11,191
58,713
301,720
196,725
1146,1746
523,2477
264,2333
992,97
48,1366
286,330
272,554
797,1771
1427,189
2116,189
104,151
178,181
627,1259
128,1843
1211,1593
1153,761
449,1570
165,243
355,729
685,802
214,961
94,153
89,1366
149,579
99,1102
94,883
1033,1925
82,294
61,1420
404,966
1589,2428
588,66
490,1346
959,1054
523,2144
1462,1930
1706,2153
214,450
505,648
567,1429
505,901
790,634
881,1731
626,850
240,1363
