118,1955
178,181
335,336
85,2009
87,148
15,101
505,648
515,901
118,117
218,694
332,331
118,1875
92,166
83,457
588,66
523,2477
392,114
46,720
515,900
449,1570
515,902
498,668
1706,1717
479,1660
463,102
240,1363
60,889
490,1346
118,2030
118,1953
104,151
77,837
389,1173
731,784
1462,1548
477,386
449,185
992,97
128,1843
1516,310
1706,1708
45,1964
434,1829
790,634
449,530
605,604
881,2156
1114,1012
232,1239
769,1172
2439,1402
72,199
79,1291
709,710
115,760
102,1760
358,2420
2355,1712
543,1467
567,1429
769,344
2450,690
786,2410
786,1225
368,903
835,1204
83,2333
1585,1618
1153,1981
128,166
116,1959
0,842
51,1952
551,1549
2393,690
128,572
387,1851
323,322
267,1936
1213,670
1437,1619
155,994
396,2397
1428,1107
272,315
1825,1994
446,1694
797,1771
187,1865
316,804
381,1827
558,614
1153,761
463,1647
505,1547
97,886
304,313
1579,1075
1180,1582
248,504
